snapshots/lines,0,1,2,3,4,5,6
2015-01-01 00:00:00,-132.12251848164223,337.8774225414906,-187.29560870847675,-150.79487609951184,264.4549403650311,-113.12252952836447,-203.9999891426249
2015-01-01 01:00:00,-577.0899180804556,1198.9069763359062,-890.8418340263643,82.71630504521644,349.72398633861354,-40.09097244593784,95.99999886851695
2015-01-01 02:00:00,-244.04668494103296,561.9530238065831,-362.20640184575655,-112.10410030064281,307.50749477891645,-107.04675815830937,114.999998054963
2015-01-01 03:00:00,-218.73773487769708,535.2620240646347,-316.30880942592495,-185.52455641388485,368.3343137050026,-147.7377865293249,11.999999997790074
2015-01-01 04:00:00,-137.8925009257214,314.10744778685824,-205.72824597518238,-54.11089724102956,163.59980990548675,-54.89251415856284,-501.999838212317
2015-01-01 05:00:00,-698.8315254346094,1536.1622178961754,-1055.009544381758,-128.77702378732084,673.2372499005862,-186.83464051089447,698.9995632169349
2015-01-01 06:00:00,-295.4641245380343,684.5353514433498,-437.03160385740733,-147.95828735089447,385.70552855516536,-136.46425430183237,49.99999984013832
2015-01-01 07:00:00,-453.1367835977418,908.8618340124,-708.9320939212691,152.8848226719482,179.18761667419892,21.862787149614878,89.99999906768667
2015-01-01 08:00:00,-622.532271826055,1415.4630319821815,-927.0142543370398,-241.12037032195713,737.5962972517858,-243.5348169333061,436.9998932719376
2015-01-01 09:00:00,-324.6644877381449,648.3350045886189,-509.30657011114465,117.67928187648083,119.63316850845492,20.335338556615582,-550.9997860614284
